"state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","Percent Occupied","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category"
"AK",8003.45454545455,1143.35064935065,434,62,1610,346,136,30,1121.85714285714,3565,1070.5211038961,78.5093167701863,77.9411764705882,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"AL",99514.2506724045,14216.3215246292,5386,769.428571428571,15160,3527,1550,159,8673.14285714286,8332,9044.97893517983,76.7348284960422,89.741935483871,"No","No","Has Capacity","Has Capacity"
"AR",57734.7112403101,8247.81589147287,3479,497,9054,2447,879,110,5479.57142857143,8434,3558.87855297158,72.9732714822178,87.485779294653,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"AZ",60124.884097035,8589.26915671929,5330,761.428571428571,16791,2733,1893,372,9091.57142857143,14888,10998.8443075343,83.723423262462,80.3486529318542,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"CA",377708.782259504,53958.3974656434,23778,3396.85714285714,65784,12572,7146,1319,67183,103606,75899.0994429731,80.8889699623009,81.5421214665547,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"CO",94010.3436123348,13430.0490874764,5700,814.285714285714,11726,3430,1288,279,8590.57142857143,9972,9419.78064751737,70.7487634316903,78.3385093167702,"No","No","Has Capacity","Unsustainable"
"CT",49864.8367938194,7123.54811340277,3389,484.142857142857,7804,1318,884,165,9074.71428571429,10076,10979.6147393193,83.1112250128139,81.3348416289593,"Yes","No","Forecasted to Exceed Capacity","Has Capacity"
"DC",32679.3404605263,4668.47720864662,1359,194.142857142857,3438,751,349,54,2250.57142857143,1928,6122.99152651365,78.1559045956952,84.5272206303725,"No","No","Has Capacity","Has Capacity"
"DE",22041.3190184049,3148.75985977213,1448,206.857142857143,3526,796,202,26,2591.57142857143,2907,2771.45181753683,77.424844015882,87.1287128712871,"No","No","Has Capacity","Unsustainable"
"FL",513290.348659589,73327.1926656556,23858,3408.28571428571,58832,10765,6354,1151,58673.1428571429,69914,123671.356499291,81.7021348925755,81.8854265029902,"No","No","Has Capacity","Has Capacity"
"GA",114955.501347305,16422.2144781865,9731,1390.14285714286,22947,3051,2528,333,19844.1428571429,26033,21884.818892041,86.7041443325925,86.8275316455696,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"HI",37470.7889908257,5352.96985583224,912,130.285714285714,2587,585,217,74,3004.14285714286,3520,8891.15041838895,77.3869346733668,65.8986175115207,"No","No","Has Capacity","Has Capacity"
"IA",37876.9028571429,5410.98612244898,3048,435.428571428571,7533,1998,591,86,3664.57142857143,11704,3604.23338528139,73.4767025089606,85.4483925549915,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"ID",13800.2274247492,1971.46106067845,1197,171,3328,898,288,50,1097.57142857143,1335,1044.34519004234,73.0168269230769,82.6388888888889,"No","Yes","Has Capacity","Forecasted to Exceed Capacity"
"IL",283991.051674641,40570.1502392345,14039,2005.57142857143,30389,7769,3243,754,28775.4285714286,42903,51478.6156914024,74.4348283918523,76.749922910885,"No","No","Unsustainable","Has Capacity"
"IN",77162.1724573594,11023.1674939085,6358,908.285714285714,16519,3192,2083,254,11795.5714285714,14735,9217.37428522204,80.676796416248,87.8060489678349,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"KS",48332.0650557621,6904.58072225173,3863,551.857142857143,8452,2787,827,126,6645.42857142857,16341,3819.01525781665,67.0255560814009,84.764207980653,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"KY",50162.4985888993,7166.07122698562,4650,664.285714285714,11622,2524,1427,121,6716.71428571429,10965,4710.2941136944,78.2825675443125,91.520672740014,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"LA",82576.8451739343,11796.6921677049,5293,756.142857142857,12793,3252,1518,299,11390.4285714286,14802,14201.7081437671,74.5798483545689,80.3030303030303,"No","No","Unsustainable","Unsustainable"
"MA",135773.104046243,19396.1577208918,5103,729,17894,2508,1282,176,19902,29163,21183.785136251,85.984128758243,86.2714508580343,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"MD",86289.8552397868,12327.1221771124,4823,689,11280,1445,1316,286,10622.1428571429,0,21959.7997970058,87.1897163120567,78.2674772036474,"No","No","Has Capacity","Has Capacity"
"ME",24335.1428571429,3476.44897959184,1195,170.714285714286,3325,950,361,95,942.571428571429,1161,2612.68193130911,71.4285714285714,73.6842105263158,"No","No","Has Capacity","Has Capacity"
"MI",117492.954292929,16784.7077561328,7703,1100.42857142857,22517,3743,2532,372,20769.5714285714,26584,19144.8027593547,83.3770040413909,85.3080568720379,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"MN",46249.3616680032,6607.0516668576,2498,356.857142857143,9703,1251,909,118,5979,7829,7625.25489746821,87.1070802844481,87.018701870187,"No","No","Unsustainable","Unsustainable"
"MO",55746.1164705882,7963.73092436975,5169,738.428571428571,17238,2619,1855,168,10499.8571428571,12979,6320.08544945251,84.8068221371389,90.9433962264151,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"MS",60893.606087735,8699.08658396214,4196,599.428571428571,8793,3079,771,105,6115.71428571429,6774,4562.39036353437,64.983509609917,86.3813229571984,"No","Yes","Has Capacity","Forecasted to Exceed Capacity"
"MT",6755.65740740741,965.093915343915,1187,169.571428571429,3005,863,219,75,734.142857142857,1143,770.479875283447,71.2811980033278,65.7534246575342,"No","No","Unsustainable","Unsustainable"
"NC",140005.724637681,20000.817805383,7869,1124.14285714286,23116,4557,2308,353,18530.4285714286,28474,19023.9762243666,80.2863817269424,84.7053726169844,"No","No","Unsustainable","Unsustainable"
"ND",11551.7718120805,1650.25311601151,574,82,2179,425,205,48,860,0,1301.77838652239,80.4956402019275,76.5853658536585,"No","No","Has Capacity","Has Capacity"
"NE",32190.7401960784,4598.67717086835,1399,199.857142857143,4503,991,479,61,2483.14285714286,4393,2921.0656512605,77.9924494781257,87.2651356993737,"No","No","Has Capacity","Unsustainable"
"NH",20517.0769230769,2931.01098901099,774,110.571428571429,2927,462,237,25,2272.14285714286,2620,2403.08363858364,84.2159207379569,89.4514767932489,"No","No","Has Capacity","Unsustainable"
"NJ",277576.289230287,39653.7556043267,12877,1839.57142857143,24216,6498,3002,1470,31172.8571428571,38461,128690.792120003,73.1665014866204,51.0326449033977,"No","No","Has Capacity","Has Capacity"
"NM",20209.174796748,2887.024970964,1447,206.714285714286,4306,955,449,42,2724.28571428571,4252,1570.45651431304,77.8216442173711,90.6458797327394,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"NV",23162.9138075314,3308.9876867902,2666,380.857142857143,8446,1471,864,126,3958.71428571429,5265,3775.33354494301,82.5834714657826,85.4166666666667,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"NY",577664.524542429,82523.5035060613,20495,2927.85714285714,47769,8475,4713,1114,69474.8571428571,37816,157605.562028825,82.258368397915,76.3632505834925,"No","No","Has Capacity","Has Capacity"
"OH",170722.677437482,24388.9539196403,12742,1820.28571428571,30537,5624,3888,564,19390.5714285714,19563,26484.8744109501,81.5829976749517,85.4938271604938,"No","No","Has Capacity","Has Capacity"
"OK",26806.612244898,3829.51603498542,4075,582.142857142857,9440,2360,929,121,5458.85714285714,9557,2456.7349048642,75,86.9752421959096,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"OR",35570.5513307985,5081.50733297121,1884,269.142857142857,7116,1358,786,172,5491,10433,7889.0297452808,80.9162450815065,78.117048346056,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"PA",148800.700239425,21257.2428913465,10558,1508.28571428571,29876,4293,3560,597,24353.5714285714,32053,34291.1212326269,85.6306065068952,83.2303370786517,"Yes","No","Forecasted to Exceed Capacity","Has Capacity"
"PR",399821.781981982,57117.3974259974,4793,684.714285714286,9231,4238,655,204,10633.4285714286,6617,81277.8154440154,54.0894810963059,68.8549618320611,"No","No","Has Capacity","Has Capacity"
"RI",29350.8828337875,4192.98326196964,735,105,2360,368,142,19,4245.57142857143,5956,4418.32152588556,84.406779661017,86.6197183098592,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"SC",60179.4084507042,8597.0583501006,4237,605.285714285714,11713,2320,1312,279,9879.28571428571,12996,12828.0824949698,80.1929480064885,78.734756097561,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"SD",15012.5,2144.64285714286,1278,182.571428571429,2715,994,247,84,1458.14285714286,1944,1854.32295411815,63.3885819521179,65.9919028340081,"No","No","Has Capacity","Unsustainable"
"TN",180211.278128951,25744.4683041358,8103,1157.57142857143,20337,5730,2489,715,12682.7142857143,19593,31487.7306673354,71.8247529134091,71.2736038569707,"No","No","Has Capacity","Has Capacity"
"TX",288459.193997317,41208.456285331,28001,4000.14285714286,67537,16073,6773,683,52866.8571428571,54263,28310.8105352125,76.2011934199032,89.9158423150746,"Yes","Yes","Forecasted to Exceed Capacity","Forecasted to Exceed Capacity"
"UT",55027.3751987281,7861.0535998183,2802,400.285714285714,6185,2173,547,95,6434.85714285714,9469,2975.40434133934,64.8666127728375,82.6325411334552,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"VA",148943.864539434,21277.6949342049,7542,1077.42857142857,17947,4220,1932,419,16283.4285714286,26186,27229.8486239632,76.4863208335655,78.3126293995859,"No","No","Unsustainable","Has Capacity"
"VT",17279.3238095238,2468.47482993197,433,61.8571428571429,1229,328,100,30,1035,1770,3487.1749271137,73.3116354759968,70,"No","No","Has Capacity","Has Capacity"
"WA",80602.3515731874,11514.6216533125,3562,508.857142857143,12407,2100,1234,249,11713.7142857143,17091,15075.8620285323,83.0740710889014,79.8217179902755,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"WI",75512.686440678,10787.5266343826,5551,793,12997,3073,1370,229,9342.42857142857,15562,9167.46862690553,76.3560821728091,83.2846715328467,"No","Yes","Unsustainable","Forecasted to Exceed Capacity"
"WV",19763.3328335832,2823.33326194046,1589,227,5794,922,652,142,3360.85714285714,4134,3796.82780038552,84.0869865377977,78.2208588957055,"Yes","No","Forecasted to Exceed Capacity","Unsustainable"
"WY",15049.4269662921,2149.91813804173,984,140.571428571429,1743,895,137,73,602.714285714286,764,1534.82664526485,48.6517498565691,46.7153284671533,"No","No","Has Capacity","Has Capacity"
